CAU	AUScore	AUScale	CauPopn
524510	1183	10	3678
524520	1137	10	3843
524530	1159	10	3993
524601	1048	8	2475
524602	1246	10	3162
524711	1070	9	2832
524712	1124	10	1896
524713	1126	10	2715
524720	1060	9	4800
524810	1008	7	4593
524820	1131	10	4200
524901	926	2	4191
524902	1053	8	2145
525001	1037	8	3093
525002	1060	9	1743
525101	1033	8	4266
525102	1004	6	4014
525200	932	3	2538
525410	1092	9	1863
525420	1029	8	1917
525510	1186	10	1527
525520	940	3	2619
525530	1053	8	2943
525540	900	1	2691
525610	1134	10	4299
525620	1014	7	1440
525630	994	6	3207
525700	1068	9	2550
525910	1098	9	4638
525921	949	4	3849
525922	948	4	1809
526101	971	5	4503
526102	946	3	921
526200	1063	9	2421
526400	1139	10	18
526500	1095	9	2277
526601	1004	6	2874
526602	982	5	1191
526603	925	2	798
526701	1004	6	2838
526702	976	5	888
526900	1003	6	960
527002	915	2	339
527003	907	1	597
527004	922	2	1272
527111	940	3	1986
527112	1079	9	462
527121	907	1	1683
527122	983	5	654
527123	943	3	1617
527131	929	3	2766
527132	940	3	1326
527210	948	4	1629
527221	983	5	831
527222	1093	9	525
527401	1255	10	3051
527402	1042	8	4035
527501	976	5	2331
527502	977	5	2358
527503	1012	7	588
527504	981	5	2385
527505	984	5	2943
527600	963	4	450
527700	1086	9	1749
527810	880	1	321
527820	1010	7	1239
527911	977	5	870
527912	915	2	861
527913	940	3	1386
527914	903	1	1260
527915	915	2	732
527921	904	1	372
527922	941	3	921
527923	938	3	462
527924	923	2	498
527925	1098	9	786
527931	925	2	324
527932	907	1	678
527934	927	2	1677
527935	926	2	606
527936	932	3	549
527937	956	4	162
528000	961	4	792
528200	1135	10	5055
528310	976	5	5169
528320	903	1	2262
528402	958	4	1398
528403	950	4	315
528404	911	2	222
528501	979	5	3717
528502	1074	9	4425
528601	918	2	3384
528602	976	5	3816
528700	935	3	2787
528800	1035	8	3108
528900	1076	9	1725
529000	1092	9	3846
529100	963	4	3477
529200	993	6	4176
529300	929	2	4413
529401	927	2	3084
529402	950	4	3468
529501	1094	9	1464
529502	1174	10	2532
529503	970	5	2442
529600	898	1	2217
529700	1093	9	2109
529800	1096	9	2703
529900	1003	6	2403
530000	1087	9	3762
530100	1044	8	2232
530200	1053	8	3144
530300	1027	7	3771
530400	1082	9	3537
530500	982	5	3144
530600	982	5	2208
530700	924	2	2979
530800	906	1	2283
531001	999	6	1095
531002	1006	7	2823
531003	1020	7	2013
531004	1029	7	2694
531100	1110	10	444
531200	1050	8	2580
531301	997	6	1476
531302	953	4	4344
531500	1017	7	495
531600	1005	6	258
531710	1045	8	525
531720	976	5	1557
531731	967	5	882
531732	1101	10	84
531800	1038	8	1362
532000	1079	9	4713
532200	923	2	123
532300	1072	9	183
532400	1153	10	327
532501	1025	7	1908
532502	1075	9	351
532601	1012	7	600
532602	1056	8	207
532700	987	6	1164
532901	1079	9	1563
532902	1079	9	3090
532903	1078	9	657
532904	1070	9	744
533000	1042	8	2382
533100	1025	7	1269
533200	1042	8	2889
533300	1047	8	3051
533400	1041	8	1131
533501	999	6	2418
533502	1003	6	3951
533602	924	2	570
533603	1026	7	2799
533604	978	5	915
533800	973	5	960
533901	954	4	2604
533902	946	3	1218
533903	1017	7	501
534100	1027	7	1767
534200	1008	7	3261
534300	1060	9	3996
534400	1102	10	4320
534500	948	4	2607
534601	944	3	7107
534602	999	6	516
534800	1003	6	3669
534900	988	6	5634
535000	1162	10	633
535100	1009	7	732
535211	967	5	192
535212	917	2	246
535220	935	3	1767
535231	957	4	882
535232	951	4	1023
535241	929	3	1620
535242	947	3	924
535250	957	4	2229
535261	933	3	969
535262	947	3	504
535310	981	5	2181
535320	1092	9	903
535330	1074	9	2496
535340	1105	10	2496
535350	1133	10	1116
535360	1017	7	3756
535370	1054	8	2877
535380	1019	7	276
535500	982	5	5679
535600	1045	8	4143
535700	1069	9	393
535800	1026	7	2280
535900	1104	10	840
536000	946	3	1296
536200	1030	8	3747
536400	1022	7	438
536502	1063	9	1989
536503	959	4	1800
536504	969	5	1215
536505	1097	9	468
536506	961	4	3
536507	0	0	0
536611	0	0	0
536612	979	5	2625
536613	0	0	0
536620	942	3	2202
536630	952	4	2844
536641	958	4	390
536642	955	4	1416
536651	1062	9	636
536652	1015	7	4074
536810	1035	8	2700
536820	977	5	3906
536831	1043	8	3687
536832	1025	7	2439
537000	919	2	4515
537100	998	6	2715
537201	954	4	3513
537202	930	3	3168
537301	1005	6	3771
537302	999	6	1488
537400	1018	7	1878
537500	1054	8	2496
537600	1024	7	3651
537700	1120	10	2046
537800	1070	9	681
537900	1004	6	2361
538000	954	4	2262
538101	1064	9	1677
538102	1010	7	3915
538201	1008	7	1854
538202	1041	8	18
538300	1008	7	4110
538501	1037	8	2598
538502	1029	8	3456
538601	1090	9	2763
538602	1054	8	1239
538720	1108	10	894
538730	893	1	2760
538741	1080	9	2916
538742	1029	7	1896
538810	926	2	1629
538820	1033	8	2253
538831	1205	10	585
538832	935	3	1401
538841	964	4	1350
538842	993	6	666
538850	927	2	1407
538861	973	5	135
538863	981	5	528
538864	1060	9	636
539000	1086	9	1173
539100	1111	10	3672
539200	1080	9	1950
539310	1095	9	2223
539320	982	5	1794
539400	1052	8	2439
539500	946	3	1881
539600	1312	10	2076
539700	990	6	1410
539800	919	2	1359
539900	1055	8	1629
540000	904	1	4008
540100	992	6	1506
540200	1119	10	1968
540300	1115	10	264
540410	1124	10	1305
540420	1120	10	1701
540510	956	4	1926
540520	1101	10	2109
540600	1080	9	1314
540700	1157	10	261
540900	1191	10	1560
541000	1104	10	3825
541311	924	2	777
541312	1048	8	549
541313	1005	6	30
541314	969	5	417
541315	1069	9	108
541316	940	3	180
541320	961	4	1365
541331	978	5	1452
541342	1081	9	213
541343	1023	7	1563
541501	1057	9	225
541502	0	0	0
541503	1053	8	45
541710	976	5	1071
541720	1056	8	3489
541730	1042	8	3861
541740	958	4	2898
541750	926	2	1482
541760	986	6	2118
541900	956	4	2184
542000	1097	9	606
542100	1163	10	870
542200	1023	7	1818
542300	1094	9	609
542410	1045	8	3000
542421	958	4	432
542422	1055	8	3027
542430	1082	9	3015
542440	986	6	3603
542511	1112	10	486
542512	922	2	117
542520	1047	8	534
542530	951	4	3189
542540	1012	7	1590
542550	1061	9	1638
542561	1108	10	576
542562	1109	10	1824
542600	1054	8	8286
542700	1163	10	2352
542800	1138	10	4056
542901	1183	10	300
542902	1040	8	2568
542903	1174	10	1047
542904	1100	10	384
543301	1155	10	2820
543302	1199	10	825
543303	1188	10	498
543601	1021	7	1881
543602	1113	10	573
543800	1038	8	333
543901	964	4	771
543902	935	3	273
543903	918	2	1212
544001	988	6	1872
544002	979	5	2160
544003	1000	6	666
544004	1150	10	744
544200	1043	8	4230
544300	1043	8	4098
544400	1157	10	2802
544500	934	3	3549
544600	1054	8	3075
544700	1087	9	4545
544801	1159	10	3066
544802	1132	10	2361
544900	987	6	1098
545201	1060	9	330
545202	1063	9	354
545203	1018	7	375
545204	1014	7	876
545301	1076	9	795
545302	1079	9	1008
545303	1087	9	324
545304	1089	9	783
545500	1086	9	5043
545611	989	6	1560
545621	891	1	507
545631	954	4	1062
545632	986	6	309
545710	910	2	1041
545721	965	5	936
545722	1029	7	795
545730	1004	6	1362
545740	991	6	1914
545750	905	1	600
545761	907	1	399
545762	913	2	789
545811	981	5	498
545812	944	3	531
545821	955	4	1422
545822	1085	9	417
545831	956	4	300
545832	1002	6	600
545841	989	6	801
545842	1003	6	804
545851	1007	7	1041
545852	981	5	729
545860	989	6	702
545911	1028	7	678
545912	982	5	369
545913	995	6	291
546100	1010	7	1029
546200	1096	9	723
546300	947	4	1224
546400	974	5	36
546500	1091	9	4254
546600	1109	10	4245
546700	1230	10	3501
546801	968	5	2946
546802	1007	7	2844
546901	1077	9	2355
546902	1070	9	2316
547001	1018	7	2712
547002	988	6	2892
547100	963	4	4011
547200	926	2	4551
547300	959	4	4620
547400	972	5	3348
547600	1028	7	3393
547700	1029	7	2769
547800	945	3	1287
547900	1053	8	3843
548000	1051	8	3813
548100	982	5	2814
548200	1053	8	2955
548300	1063	9	4056
548400	939	3	54
548500	1194	10	1941
548611	1222	10	3141
548612	1131	10	2967
548620	1104	10	4185
548810	1058	9	1500
548820	922	2	2820
548830	895	1	4698
549000	1056	8	594
549100	1009	7	1824
549200	962	4	2457
549400	1090	9	525
549500	1020	7	3711
549601	1035	8	240
549602	960	4	3210
549800	962	4	3606
549901	991	6	675
549902	979	5	9
550101	994	6	2352
550102	1053	8	3354
550200	942	3	1182
550500	1061	9	1632
550600	1007	7	399
550700	980	5	1902
550800	931	3	1062
550901	1007	7	3804
550902	956	4	186
551012	990	6	864
551013	960	4	306
551014	949	4	708
551021	889	1	612
551022	888	1	1998
551023	884	1	468
551024	892	1	1077
551030	918	2	408
551111	925	2	1656
551112	943	3	2025
551120	1020	7	477
551301	1110	10	3828
551302	1075	9	2808
551400	1062	9	3807
551501	996	6	2100
551502	984	6	1884
551503	1136	10	2277
551600	923	2	1485
551700	998	6	3465
551800	1116	10	603
551900	1041	8	1851
552001	1020	7	945
552002	1005	6	1443
552100	994	6	3459
552200	977	5	1584
552300	969	5	2655
552400	999	6	3615
552500	983	5	4827
552701	917	2	486
552702	938	3	2592
552800	1002	6	3183
552900	1035	8	237
553001	1062	9	228
553002	953	4	933
553003	940	3	1365
553004	946	3	1365
553101	1047	8	3345
553102	1048	8	2280
553200	1068	9	1635
553301	1020	7	333
553302	971	5	3090
553400	1058	9	384
553500	929	2	1986
553601	1039	8	2256
553700	956	4	1695
553800	1105	10	1080
553900	1030	8	879
554010	1003	6	4050
554020	1027	7	4092
554111	952	4	765
554112	907	1	951
554113	957	4	708
554120	993	6	642
554130	997	6	675
554300	1081	9	102
554400	959	4	1161
554500	989	6	933
554700	1173	10	1470
554800	1065	9	987
554900	1018	7	1239
555000	1050	8	1293
555100	1091	9	1194
555200	895	1	831
555300	929	3	1158
555400	974	5	1257
555700	1104	10	2451
555800	1145	10	1572
555900	1162	10	1311
556000	1306	10	435
556100	975	5	1614
556200	1022	7	3204
556300	1058	9	1305
556400	1221	10	1824
556500	941	3	1458
556600	911	2	1821
556700	993	6	1188
556800	1147	10	2481
556900	1117	10	1437
557000	1051	8	354
557100	1099	9	447
557200	908	2	2094
557300	1105	10	1971
557400	1046	8	2457
557500	1026	7	2082
557600	1151	10	1953
557700	1033	8	2334
557800	886	1	696
557900	965	5	1512
558100	988	6	345
558200	916	2	549
558300	988	6	2238
558500	938	3	2310
558600	1085	9	165
558700	1029	8	501
558800	1150	10	426
558900	961	4	1710
559000	972	5	24
559210	962	4	699
559220	954	4	2337
559230	971	5	3255
559240	1034	8	105
559400	1059	9	2085
559500	1030	8	4944
559700	947	4	1506
560000	949	4	963
560200	972	5	2523
560301	970	5	588
560302	894	1	597
560411	984	6	129
560412	910	2	336
560421	952	4	393
560422	938	3	1992
560710	1014	7	3675
560720	976	5	3330
560730	1034	8	2793
560740	980	5	2907
560900	1035	8	507
561000	964	4	579
561100	1102	10	264
561200	1154	10	456
561300	1100	10	1770
561410	925	2	273
561421	887	1	264
561422	949	4	3078
561500	968	5	909
561700	1107	10	2712
561811	949	4	606
561812	965	5	519
561813	916	2	1062
561820	939	3	1437
561901	927	2	1638
561902	906	1	1044
562100	953	4	4698
562200	984	6	2598
562310	997	6	5127
562320	943	3	2136
562401	966	5	2667
562402	990	6	2784
562500	1057	8	5370
562600	976	5	3006
562710	1116	10	3474
562720	1042	8	3708
562800	1038	8	2871
562910	1046	8	3564
562921	915	2	1383
562922	906	1	3429
563000	1004	6	4332
563101	921	2	4119
563102	901	1	1371
563200	948	4	4647
563300	859	1	1125
563500	1128	10	1557
563600	1041	8	570
563701	960	4	1575
563702	922	2	4572
563703	914	2	1485
563801	1005	6	555
563802	961	4	525
563920	921	2	186
564011	999	6	822
564012	1004	6	1518
564013	948	4	570
564021	971	5	2418
564022	961	4	1080
564023	962	4	516
564210	979	5	3210
564220	1049	8	2856
564231	1043	8	3297
564232	1124	10	2112
564240	986	6	4206
564400	1047	8	5391
564510	875	1	1275
564520	995	6	717
564530	890	1	3282
564600	875	1	138
564800	1009	7	3888
564900	966	5	3195
565000	967	5	2121
565100	1001	6	2751
565200	997	6	2652
565300	972	5	3237
565400	908	1	495
565601	899	1	645
565602	841	1	1161
565603	812	1	246
565604	901	1	1254
565700	887	1	102
565901	956	4	2754
565902	955	4	654
565903	943	3	2898
566000	984	6	5046
566101	938	3	3714
566102	956	4	2853
566200	977	5	1659
566301	0	0	0
566302	967	5	369
566500	914	2	1005
566610	976	5	690
566620	940	3	2268
566700	1040	8	2580
566800	948	4	2364
566900	926	2	3045
567000	992	6	2211
567100	1044	8	309
567200	1034	8	141
567300	1002	6	2109
567400	980	5	3240
567500	937	3	2310
567600	1021	7	2148
567700	1010	7	2538
567800	912	2	3165
567901	938	3	303
567902	878	1	888
568101	922	2	2985
568102	983	5	2157
568103	1079	9	2406
568104	900	1	1719
568201	1164	10	2802
568202	1108	10	2727
568301	1062	9	2034
568302	1118	10	4407
568303	1083	9	3486
568400	941	3	4581
568501	990	6	2856
568502	1029	7	2970
568600	958	4	4971
568701	1064	9	1278
568702	1019	7	2079
568800	1177	10	51
568900	1121	10	1623
569001	872	1	1209
569002	1042	8	453
569100	898	1	3501
569201	986	6	522
569202	978	5	1863
569301	866	1	2064
569302	890	1	3408
569400	881	1	2886
569500	901	1	2625
569600	987	6	330
569800	894	1	1191
569900	1042	8	840
570000	1050	8	2349
570100	1039	8	3294
570300	879	1	4581
570400	1032	8	2334
570500	984	5	1950
570600	1109	10	3312
570700	1113	10	2388
570800	1166	10	723
570900	1132	10	2046
571000	945	3	1134
571100	1233	10	3627
571200	1174	10	1719
571300	1196	10	4164
571400	1223	10	4293
571500	866	1	1923
571600	1060	9	2697
571800	907	1	1683
571900	906	1	1905
572000	885	1	1971
572100	884	1	2388
572200	861	1	2676
572300	0	0	0
572500	863	1	3495
572600	938	3	4044
572701	965	5	3819
572702	867	1	1137
572900	956	4	2556
573000	1022	7	2268
573100	1066	9	423
573200	1076	9	2925
573300	1080	9	2739
573400	1003	6	4362
573510	870	1	3249
573520	918	2	1722
573600	905	1	1761
573700	961	4	2508
573800	915	2	1905
573900	930	3	4098
574000	918	2	3300
574100	943	3	2493
574200	866	1	2295
574301	896	1	1890
574302	879	1	3270
574401	874	1	3042
574402	921	2	2757
574500	884	1	15
574600	872	1	3009
574700	911	2	4134
574800	880	1	2301
574900	937	3	3831
575000	876	1	3381
575100	892	1	3447
575200	925	2	2286
575300	929	2	3348
575400	907	1	372
575500	958	4	540
575600	923	2	3006
575700	928	2	1674
575800	927	2	2148
575900	928	2	1806
576001	940	3	2973
576002	944	3	3246
576100	946	3	3006
576200	1089	9	2088
576300	1071	9	3243
576400	1106	10	4089
576500	1035	8	606
576600	928	2	978
576700	900	1	1455
576800	925	2	3819
576901	1032	8	2655
576902	965	5	2898
577000	999	6	2736
577100	1050	8	3762
577200	958	4	2907
577300	951	4	4419
577400	887	1	1101
577500	898	1	1962
577600	962	4	1950
577700	900	1	642
577900	933	3	1971
578000	986	6	2724
578100	1061	9	687
578200	954	4	1257
578301	952	4	453
578302	910	2	882
578401	945	3	1101
578402	969	5	1599
578600	1111	10	657
578700	1015	7	3135
578800	1127	10	3639
578901	1003	6	2421
578902	1015	7	2823
579000	1036	8	1326
579100	1211	10	273
579200	981	5	3972
579400	918	2	207
579501	950	4	963
579502	957	4	1425
579700	1040	8	4179
579801	956	4	2478
579802	1006	7	396
579900	974	5	1968
580000	1037	8	2586
580100	1040	8	1530
580200	1005	6	408
580300	956	4	1587
580410	899	1	771
580420	932	3	1125
580430	963	4	1245
580442	984	6	645
580443	990	6	2505
580444	947	3	3075
580600	937	3	9
580801	946	3	855
580802	1023	7	573
580900	857	1	3
581100	1029	7	2844
581210	967	5	2799
581220	1075	9	2448
581230	1025	7	2469
581240	998	6	3837
581250	991	6	4062
581260	916	2	3207
581400	1023	7	2004
581500	979	5	1191
581601	1025	7	2904
581602	1014	7	1194
581713	959	4	330
581714	909	2	321
581715	887	1	171
581716	914	2	675
581717	903	1	243
581720	926	2	1017
581811	1028	7	42
581812	1011	7	432
581822	931	3	1008
581823	932	3	1224
581824	939	3	3564
581825	961	4	1044
581830	997	6	3477
581841	1013	7	687
581842	977	5	534
581843	995	6	561
581844	1074	9	384
581850	976	5	783
582000	895	1	1089
582100	925	2	1695
582200	1014	7	15
582300	1030	8	2400
582400	992	6	4017
582500	1049	8	423
582600	1016	7	582
582700	1026	7	885
582800	970	5	1860
582900	979	5	1242
583000	1027	7	1758
583100	917	2	1923
583201	1072	9	1629
583202	1034	8	1443
583300	1013	7	1389
583400	1004	6	1104
583500	973	5	909
583600	954	4	453
583700	922	2	2352
583800	935	3	2151
583900	1059	9	2691
584000	945	3	2976
584201	955	4	3900
584202	936	3	3966
584301	1011	7	3108
584302	1014	7	3105
584401	1024	7	2784
584402	1039	8	441
584403	1106	10	309
584404	1111	10	306
584500	1049	8	4455
584600	1046	8	1080
584700	1029	8	957
584800	900	1	864
584911	1025	7	357
584912	935	3	843
584922	1138	10	360
584923	944	3	45
584924	1004	6	1797
584930	1046	8	759
585000	1091	9	1398
585110	1090	9	1899
585120	1022	7	1005
585130	1076	9	690
585140	961	4	2898
585304	1049	8	315
585305	1047	8	885
585306	1036	8	297
585307	938	3	414
585308	959	4	1005
585309	995	6	333
585310	972	5	516
585311	985	6	390
585312	963	4	201
585313	902	1	150
585400	997	6	3261
585502	1025	7	504
585503	946	3	1455
585504	1040	8	408
585601	952	4	972
585602	1006	7	444
585700	991	6	2502
585802	988	6	813
585803	971	5	1509
585804	919	2	1674
585805	945	3	435
586001	1005	6	204
586002	1074	9	603
586112	989	6	540
586113	939	3	2142
586114	959	4	453
586120	914	2	1227
586301	966	5	3576
586302	947	4	3465
586303	974	5	1449
586304	939	3	375
586401	982	5	3516
586402	989	6	2328
586501	903	1	687
586502	972	5	1020
586600	909	2	1671
586801	982	5	909
586802	1009	7	1338
586900	944	3	1143
587010	929	2	1647
587020	951	4	990
587100	985	6	2283
587301	909	2	4425
587302	882	1	1953
587400	1015	7	2862
587500	998	6	4692
587701	991	6	4734
587702	948	4	1698
587811	930	3	624
587812	1053	8	2199
587820	968	5	2445
587830	981	5	1938
587841	911	2	1503
587842	934	3	303
587843	945	3	897
587844	857	1	729
587902	925	2	225
587903	881	1	297
587904	897	1	3435
587905	899	1	423
588101	934	3	3342
588102	939	3	2826
588200	1030	8	2031
588300	1066	9	2217
588400	923	2	2562
588500	932	3	4497
588600	946	3	2652
588700	930	3	2499
588800	897	1	2724
588900	903	1	2157
589000	957	4	1701
589100	1129	10	2088
589200	890	1	2520
589300	867	1	2271
589400	913	2	2535
589500	882	1	1581
589601	875	1	2253
589602	892	1	1440
589700	881	1	2499
589800	892	1	2820
589900	894	1	3279
590000	898	1	3666
590100	957	4	2136
590200	994	6	1989
590300	1147	10	870
590400	979	5	2931
590500	922	2	3708
590601	989	6	2112
590602	979	5	4812
590700	1000	6	3396
590800	1017	7	2790
590900	1075	9	399
591101	876	1	2910
591102	871	1	2892
591200	928	2	1221
591300	985	6	1392
591500	1081	9	522
591600	1035	8	1371
591700	1142	10	3747
591800	993	6	2157
591900	952	4	3216
592000	944	3	4776
592100	934	3	4002
592200	947	3	2847
592300	920	2	4857
592401	1007	7	2547
592402	1032	8	4293
592500	988	6	2736
592600	1058	9	3198
592701	1058	9	3633
592702	1023	7	3411
592811	941	3	2655
592812	964	4	3153
592820	959	4	1827
592900	937	3	4197
593000	1010	7	2610
593100	1165	10	4869
593200	996	6	2844
593300	1130	10	2325
593400	1069	9	3060
593501	1123	10	4227
593502	1149	10	3210
593600	1059	9	2397
593700	1073	9	1887
593800	1068	9	3660
593900	1079	9	2799
594010	1061	9	3030
594020	1081	9	1833
594100	1087	9	2127
594200	1088	9	3240
594300	961	4	3276
