CAU_num_2006	CAU_name_2006	CAU_average_NZDep2006	CAU_average_NZDep_score_2006
500100	Awanui	9	1086
500202	Karikari Peninsula-Maungataniwha	9	1073
500203	Taipa Bay-Mangonui	8	1047
500204	Herekino	8	1044
500205	Ahipara	9	1082
500206	North Cape	10	1165
500207	Houhora	8	1044
500208	Motutangi-Kareponia	8	1053
500301	Kaitaia West	10	1177
500302	Kaitaia East	10	1153
500401	Kaeo	9	1092
500402	Mangapa-Matauri Bay	8	1036
500500	Kohukohu	10	1145
500600	Rawene	10	1193
500700	Omapere and Opononi	10	1176
500801	Hokianga North	10	1177
500802	Hokianga South	10	1202
500900	Kerikeri	6	983
501000	Russell	4	955
501100	Paihia	8	1028
501200	Haruru Falls	7	1000
501300	Opua East	5	958
501400	Kawakawa	10	1136
501500	Moerewa	10	1177
501612	Opua West	4	954
501613	Bay of Islands	7	1010
501614	Kapiro	5	963
501615	Waitangi	5	961
501620	Pokere-Waihaha	9	1074
501631	Okaihau	9	1073
501632	Ohaeawai	7	1014
501633	Waihou Valley-Hupara	4	948
501634	Ngapuhi-Kaikou	9	1109
501700	Kaikohe	10	1191
501802	Opouteke-Tanekaha	4	953
501806	Marsden Point-Ruakaka	8	1038
501807	Ngunguru	5	971
501809	Wharekohe-Oakleigh	2	926
501810	Maungatapere	3	934
501811	Waiotira-Springfield	4	952
501813	Whangaruru Harbour	10	1110
501814	Punaruku-Kiripaka	6	988
501815	Bream Bay	4	946
501816	Waipu	6	987
501817	Pataua-Whareora	4	945
501818	Parua Bay	3	943
501819	Bream Head	4	948
502001	Springs Flat	5	962
502002	Three Mile Bush	4	950
502003	Te Hihi	2	914
502004	Abbey Caves	2	922
502005	Otaika-Portland	4	957
502101	Kamo West	5	962
502102	Kamo East	8	1032
502201	Tikipunga West	9	1098
502202	Tikipunga East	8	1032
502300	Whau Valley	7	1007
502400	Otangarei	10	1339
502500	Western Hills	4	946
502600	Kensington	8	1039
502700	Mairtown	8	1035
502800	Regent	8	1043
502900	Woodhill	9	1060
503000	Vinetown	9	1104
503100	Whangarei Central	9	1090
503200	Riverside	7	1016
503300	Horahora	7	1005
503400	Maunu	2	922
503500	Raumanga East	10	1166
503600	Morningside	9	1075
503700	Parahaki	5	969
503800	Raumanga West	10	1158
503900	Port-Limeburners	9	1061
504000	Sherwood Rise	8	1026
504100	Onerahi	8	1049
504300	Hikurangi	9	1088
504400	Te Kopuru	9	1108
504501	Kaipara Coastal	7	1015
504502	Maungaru	5	968
504600	Dargaville	9	1071
504700	Maungaturoto	7	1006
504800	Ruawai	9	1089
504900	Kaiwaka	8	1047
505010	Rehia-Oneriri	6	995
505021	Mangawhai	6	993
505022	Mangawhai Heads	5	973
505300	Wellsford	8	1040
505400	Leigh	7	1001
505500	Warkworth	6	987
505600	Kumeu	3	933
505700	Waipareira West	2	918
505802	Red Beach	3	934
505803	Waiwera	8	1049
505804	Hatfields Beach	4	955
505805	Orewa	6	990
505902	Manly	5	961
505904	Army Bay	3	938
505906	Vipond	4	947
505907	Stanmore Bay West	6	976
505908	Stanmore Bay East	6	979
505909	Wade Heads	4	949
505910	Gulf Harbour	3	936
505911	Gulf Harbour Marina	6	982
506000	Silverdale South	3	929
506200	Silverdale North	3	928
506300	Dairy Flat-Redvale	1	900
506400	Paremoremo West	1	886
506613	Tauhoa-Puhoi	4	946
506614	Tahekeroa	1	912
506615	Cape Rodney	4	953
506616	Matheson Bay	6	985
506620	Kawau		
506631	Snells Beach	5	973
506632	Algies Bay-Mahurangi	4	951
506641	Parakai	8	1049
506642	South Head	5	968
506643	Kaukapakapa	2	925
506651	Muriwai Beach	2	921
506652	Rewiti	3	931
506653	Riverhead	1	893
506800	Helensville	7	1019
506901	Awaruku	1	903
506902	Glamorgan	2	918
506903	Torbay	2	924
507000	Waiake	2	917
507101	Browns Bay	3	939
507102	Oaktree	2	924
507200	Rothesay Bay	2	915
507300	Murrays Bay	2	917
507400	Mairangi Bay	1	909
507500	Campbells Bay	1	888
507710	Castor Bay	1	896
507720	Crown Hill	2	923
507800	Lake Pupuke	3	929
507900	Westlake	5	973
508010	Takapuna Central	3	935
508020	Hauraki	2	926
508110	Seacliffe	4	951
508120	Bayswater	4	955
508210	Kaipatiki	6	976
508220	Windy Ridge	5	962
508310	Glenfield Central	6	980
508320	Glenfield North	6	977
508411	Glendhu	5	961
508412	Witheford	5	963
508420	Target Road	6	977
508510	Forrest Hill	3	942
508520	Sunnynook	4	952
508610	Monarch Park	3	933
508620	Sunnybrae	5	959
508701	Albany	5	965
508703	Fairview	3	936
508704	Northcross	4	954
508803	Unsworth Heights	3	929
508804	Pinehill	4	947
508805	Windsor Park	4	956
508806	North Harbour West	2	916
508807	North Harbour East	3	934
508900	Long Bay	1	906
509000	Paremoremo East	2	925
509100	Greenhithe	1	899
509300	Narrow Neck	3	935
509400	Mt Victoria	2	922
509500	Stanley Bay	1	890
509701	Ocean View	5	972
509702	Tuff Crater	8	1053
509800	Northcote South	2	922
510010	Beachhaven North	7	1015
510020	Beachhaven South	6	978
510210	Birkdale North	7	1004
510220	Birkdale South	5	970
510401	Kauri Park	3	937
510402	Chelsea	2	913
510500	Birkenhead East	2	918
510700	Henderson North	8	1025
510800	Henderson South	9	1066
511001	Tangutu	7	1017
511002	Woodglen	7	1018
511100	Glen Eden East	8	1029
511301	New Lynn North	8	1049
511302	New Lynn South	8	1028
511303	Lynnmall	9	1056
511401	Fruitvale	7	1024
511402	Rewarewa	7	1016
511601	Glendene North	7	1019
511602	Glendene South	6	996
511700	Kelston Central	9	1060
511800	Sunnyvale	7	1011
511901	Kaurilands	3	935
511902	Crum Park	3	931
512000	Titirangi South	1	896
512100	Green Bay	4	954
512201	Matipo	7	1012
512202	Durham Green	7	1003
512300	Te Atatu Central	6	984
512401	Edmonton	7	1003
